State,LineCode,Description,Average Personal Income
Alabama,3,Per capita personal income (dollars) 2/,41607
Alaska,3,Per capita personal income (dollars) 2/,59783
Arizona,3,Per capita personal income (dollars) 2/,45299
Arkansas,3,Per capita personal income (dollars) 2/,43661
California,3,Per capita personal income (dollars) 2/,61509
Colorado,3,Per capita personal income (dollars) 2/,58471
Connecticut,3,Per capita personal income (dollars) 2/,73176
Delaware,3,Per capita personal income (dollars) 2/,52839
District of Columbia,3,Per capita personal income (dollars) 2/,82512
Florida,3,Per capita personal income (dollars) 2/,51444
Georgia,3,Per capita personal income (dollars) 2/,46824
Hawaii,3,Per capita personal income (dollars) 2/,52174
Idaho,3,Per capita personal income (dollars) 2/,43356
Illinois,3,Per capita personal income (dollars) 2/,56512
Indiana,3,Per capita personal income (dollars) 2/,47100
Iowa,3,Per capita personal income (dollars) 2/,49212
Kansas,3,Per capita personal income (dollars) 2/,50811
Kentucky,3,Per capita personal income (dollars) 2/,41977
Louisiana,3,Per capita personal income (dollars) 2/,46062
Maine,3,Per capita personal income (dollars) 2/,48220
Maryland,3,Per capita personal income (dollars) 2/,60630
Massachusetts,3,Per capita personal income (dollars) 2/,69517
Michigan,3,Per capita personal income (dollars) 2/,47314
Minnesota,3,Per capita personal income (dollars) 2/,56568
Mississippi,3,Per capita personal income (dollars) 2/,37927
Missouri,3,Per capita personal income (dollars) 2/,47230
Montana,3,Per capita personal income (dollars) 2/,47808
Nebraska,3,Per capita personal income (dollars) 2/,52023
Nevada,3,Per capita personal income (dollars) 2/,49737
New Hampshire,3,Per capita personal income (dollars) 2/,60929
New Jersey,3,Per capita personal income (dollars) 2/,64759
New Mexico,3,Per capita personal income (dollars) 2/,41145
New York,3,Per capita personal income (dollars) 2/,65097
North Carolina,3,Per capita personal income (dollars) 2/,46272
North Dakota,3,Per capita personal income (dollars) 2/,55511
Ohio,3,Per capita personal income (dollars) 2/,48438
Oklahoma,3,Per capita personal income (dollars) 2/,46474
Oregon,3,Per capita personal income (dollars) 2/,50536
Pennsylvania,3,Per capita personal income (dollars) 2/,55184
Rhode Island,3,Per capita personal income (dollars) 2/,52550
South Carolina,3,Per capita personal income (dollars) 2/,44326
South Dakota,3,Per capita personal income (dollars) 2/,52590
Tennessee,3,Per capita personal income (dollars) 2/,47006
Texas,3,Per capita personal income (dollars) 2/,52019
Utah,3,Per capita personal income (dollars) 2/,46002
Vermont,3,Per capita personal income (dollars) 2/,52191
Virginia,3,Per capita personal income (dollars) 2/,56738
Washington,3,Per capita personal income (dollars) 2/,60178
West Virginia,3,Per capita personal income (dollars) 2/,41300
Wisconsin,3,Per capita personal income (dollars) 2/,50818
Wyoming,3,Per capita personal income (dollars) 2/,60353
,,,
,,,
,,,
,,,
,,,
,,,